volume,low,deltaOpen,deltaClose,deltaHigh,utcTimestampInMinutes
122834,109128,39,326,595,28405320
149058,108769,618,639,1215,28406760
123191,109226,245,271,563,28411080
130566,109105,452,206,559,28412520
116347,109230,44,490,498,28413960
154959,109303,367,428,686,28415400
138150,109360,317,136,510,28416840
89951,109334,115,166,341,28421160
151743,108621,858,130,888,28422600
141140,108446,269,370,399,28424040
143550,108466,339,284,602,28425480
124677,108657,63,318,321,28426920
118282,108799,99,23,297,28431240
126783,108215,612,320,945,28432680
140941,108441,25,403,881,28434120
143385,108217,608,241,801,28435560
127192,108129,283,401,729,28437000
108903,107960,458,372,541,28441320
121736,108119,198,335,454,28442760
173747,107948,447,225,927,28444200
162527,107799,366,920,949,28445640
138671,107804,906,85,1171,28447080
127143,107233,617,190,628,28451400
125558,107226,169,314,398,28452840
125733,107491,32,239,349,28454280
120112,107416,285,363,473,28455720
115901,107621,139,225,329,28457160
98719,107559,230,158,497,28461480
123000,107007,708,82,989,28462920
119104,106950,130,324,395,28464360
115280,107238,16,485,610,28465800
121354,107320,352,443,555,28467240
68203,107620,102,154,274,28471560
123471,107616,156,461,772,28473000
108038,107900,149,296,342,28474440
107530,108028,106,201,853,28475880
95869,108118,67,88,279,28477320
91721,108127,169,385,470,28481640
89336,108329,138,118,330,28483080
91014,107967,461,415,492,28484520
126865,107958,370,89,600,28485960
103608,107980,16,417,451,28487400
88728,108354,0,203,314,28491720
94248,108406,126,159,355,28493160
107804,108421,131,565,732,28494600
104373,108678,265,803,814,28496040
113496,109205,211,190,607,28497480
95210,109145,245,107,336,28501740
94998,109023,199,235,413,28503180
82889,109201,48,277,436,28504620
89733,108806,671,29,741,28506060
79734,108728,88,158,268,28507500
63148,108661,231,58,400,28511820
88339,108347,357,310,418,28513260
91430,108364,248,855,864,28514700
101669,108555,637,41,871,28516140
82153,108017,548,69,663,28517580
76883,108022,46,348,402,28521900
88405,108242,118,69,401,28523340
90140,108108,196,169,282,28524780
96428,107751,504,122,518,28526220
72304,107678,196,221,368,28527660
65085,107309,551,118,681,28531980
76341,107245,171,446,545,28533420
88499,107640,51,719,728,28534860
76388,108295,13,77,471,28536300
96058,107914,411,457,564,28537740
76006,108209,148,382,412,28542060
79065,108477,78,90,373,28543500
102404,107287,1270,134,1378,28544940
110998,106993,428,265,571,28546380
102836,106225,1044,189,1068,28547820
113398,106203,119,39,448,28552140
127115,106011,223,174,525,28553580
111245,106061,114,667,734,28555020
98597,106414,307,22,486,28556460
137721,106105,328,467,672,28557900
83520,106239,295,298,466,28562220
96470,106386,132,636,727,28563660
83031,106781,231,209,361,28565100
98322,106783,157,513,621,28566540
95023,106740,533,201,788,28567980
112933,106890,5,307,447,28572300
116943,106649,532,8,705,28573740
112631,106494,151,642,833,28575180
124796,106743,393,504,559,28576620
122101,107221,1,411,909,28578060
139233,107553,50,147,355,28582380
150139,107479,173,71,395,28583820
141110,107349,173,130,225,28585260
156257,107238,218,578,607,28586700
128770,107601,201,93,299,28588140
137032,107653,31,245,415,28592460
140910,107669,205,528,588,28593900
159446,108130,53,705,730,28595340
146951,108543,288,128,408,28596780
134556,108356,283,344,429,28598220
133136,108542,116,25,303,28602540
138732,108427,144,112,320,28603980
153539,108175,362,45,461,28605420
171554,108047,161,109,563,28606860
141817,108055,64,406,523,28608300
96946,108407,2,158,267,28612620
150416,108504,69,60,385,28614060
171419,107999,572,5,595,28615500
189320,107882,129,437,569,28616940
